iter	Passed	Remaining
805	38207	9196
806	38270	9152
807	38318	9105
808	38369	9058
809	38410	9009
810	38468	8964
811	38523	8919
812	38576	8872
813	38621	8825
814	38656	8774
815	38731	8733
816	38762	8682
817	38813	8635
818	38859	8587
819	38914	8542
820	38976	8497
821	39030	8451
822	39088	8406
823	39125	8356
824	39170	8308
825	39222	8262
826	39278	8216
827	39322	8168
828	39372	8121
829	39434	8076
830	39488	8030
831	39533	7982
832	39574	7933
833	39606	7883
834	39659	7836
835	39705	7789
836	39747	7740
837	39810	7696
838	39848	7646
839	39893	7598
840	39946	7552
841	39996	7505
842	40049	7458
843	40089	7409
844	40166	7367
845	40217	7320
846	40261	7272
847	40338	7230
848	40410	7187
849	40465	7141
850	40512	7093
851	40565	7046
852	40622	7000
853	40654	6950
854	40712	6904
855	40746	6854
856	40762	6801
857	40829	6757
858	40863	6707
859	40927	6662
860	40983	6616
861	41041	6570
862	41102	6524
863	41150	6477
864	41191	6428
865	41236	6380
866	41290	6334
867	41341	6286
868	41383	6238
869	41431	6190
870	41475	6142
871	41533	6096
872	41582	6049
873	41625	6000
874	41664	5952
875	41715	5904
876	41776	5859
877	41798	5807
878	41869	5763
879	41912	5715
880	41952	5666
881	42000	5619
882	42054	5572
883	42091	5523
884	42158	5478
885	42207	5430
886	42254	5383
887	42306	5336
888	42367	5289
889	42402	5240
890	42462	5194
891	42520	5148
892	42565	5100
893	42611	5052
894	42662	5005
895	42723	4958
896	42758	4909
897	42798	4861
898	42839	4812
899	42881	4764
900	42920	4716
901	42982	4669
902	43041	4623
903	43080	4574
904	43116	4526
905	43153	4477
906	43247	4434
907	43282	4385
908	43315	4336
909	43340	4286
910	43394	4239
911	43447	4192
912	43489	4144
913	43533	4096
914	43576	4048
915	43626	4000
916	43674	3953
917	43723	3905
918	43766	3857
919	43817	3810
920	43870	3763
921	43919	3715
922	43968	3668
923	44015	3620
924	44062	3572
925	44122	3525
926	44175	3478
927	44222	3431
928	44264	3382
929	44319	3335
930	44373	3288
931	44440	3242
932	44494	3195
933	44543	3147
934	44590	3099
935	44640	3052
936	44680	3004
937	44724	2956
938	44773	2908
939	44810	2860
940	44846	2811
941	44889	2763
942	44931	2715
943	44965	2667
944	45010	2619
945	45053	2571
946	45091	2523
947	45130	2475
948	45154	2426
949	45195	2378
950	45233	2330
951	45257	2281
952	45297	2233
953	45325	2185
954	45362	2137
955	45392	2089
956	45420	2040
957	45441	1992
958	45463	1943
959	45489	1895
960	45509	1846
961	45531	1798
962	45550	1750
963	45575	1702
964	45596	1653
965	45617	1605
966	45637	1557
967	45658	1509
968	45703	1462
969	45722	1414
970	45744	1366
971	45765	1318
972	45787	1270
973	45806	1222
974	45829	1175
975	45850	1127
976	45874	1079
977	45895	1032
978	45918	984
979	45938	937
980	45960	890
981	45986	842
982	46007	795
983	46029	748
984	46054	701
985	46077	654
986	46097	607
987	46118	560
988	46142	513
989	46163	466
990	46183	419
991	46203	372
992	46213	325
993	46225	279
994	46236	232
995	46248	185
996	46261	139
997	46281	92
998	46294	46
999	46306	0
